NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO
210052143937,2021,11,F,1,3,1,1,11,1,,0,,,,,,,,2927408,Salvador,29,BA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,
210051136061,2021,5,F,2,3,1,2,0,2,1.0,0,,,,,,,,2905701,CamaÃ§ari,29,BA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,
210053339524,2021,3,M,1,3,1,1,1,1,,0,,,,,,,,2918001,JequiÃ©,29,BA,1,1,1,1,911.0,880.0,890.0,902.0,567.1,647.0,637.2,694.2,CCCEDBAAACBAEEDEECACBEADBDDABCCEBCBACAADBECDA,CCBBDEECBBABEECEBAAAAEBCACADABBEDABBCCADABADC,ABBCD99999DDEACBCADABBCEBABBACEADEBABAACEAAADBCDBD,ECCCAEBDBDDDDCDDEDBAABDBAAEDBBBCBACAEBDBADCBA,0,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,160.0,200.0,160.0,160.0,200.0,880.0
210051211166,2021,1,F,1,1,1,3,0,1,,1,,,,,,,,2931905,Tucano,29,BA,1,1,1,1,909.0,881.0,892.0,899.0,478.5,581.1,577.2,632.1,CABCDABCAEDDCDABEBACDEEAEDCAADECDBADCCADBDACE,BDECCAEABBCBBAEAADADCDABECBCBCAACBBBCBECCEBBB,AABEC99999DDBBEAEAACDEBDCBCEADDBBEEDEEDAADBDACADCC,AEEEDADDCEBCCBCCDBDCABABEBDABCEDBBDBBCEADBBCB,0,EDECABEDABCBEBACCDCBBEEBBCBDAAECDCBDCDBBBADCD,BEECCAEABADBCAEBAAEEDDEBBBADBCBAAEEBBBADCCBBA,ABBACAAECACDBDDADEBDDCBDCEDBEDDBBBBDCEEAADABACACDC,EEXEBABDDCECCBCCECDCAEBADEABBDBDEDCEDCCADDCAB,1.0,160.0,180.0,160.0,200.0,200.0,900.0
210054216443,2021,3,F,1,2,1,1,1,1,,0,,,,,,,,2922409,MutuÃ­pe,29,BA,1,1,1,1,910.0,879.0,889.0,900.0,460.1,416.1,481.4,406.3,BDBBCBDEBADCCAEDEBAACBBECBDAECCAEAECADCBCCCAE,BBDBDCDEABABBDABBCECCCCBCAAEADBDE*BBBCACADAAA,99999EDACAEDAEEADAEEAEDBCDBEBEDDEADBADBBDACADBCBCA,CDDABADEDBADACBACEDBEACDACAADDEEAAECAEDAEBCAA,1,ADCDCDBBBECDCCDCBCBDABCAADCBEBABEEBBBCABEDEDE,BADCBADBCEDDEBBADBCABEECCAEABEBAAECBBABAAEEBB,CAABBCAEAABDCDEADCEDBEDDDABBBBDEBCEADABDBACACDCDDC,DDCABDCCAEDCEBBDBDAEEBADCAECDBCCCCDDCEEBABXEE,1.0,120.0,200.0,160.0,180.0,140.0,800.0
210052384829,2021,1,M,1,3,1,3,0,1,,1,,,,,,,,2933000,Valente,29,BA,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,
210054453939,2021,7,M,1,3,1,1,6,1,,0,,,,,,,,2927408,Salvador,29,BA,1,1,1,1,910.0,879.0,889.0,900.0,479.7,369.4,461.1,515.6,DAEBCCDBDECCAECCBCDCCBCCDCCCDADCECBBCCEDCBBDC,EDBBCABEDBBCACBDEBCCACEBACAEBCCABBAACCABEACCA,EAAAC99999BCAADAD*BBDDAACCDBDBDAACBEEDBBCBDABDADBD,DBCDDDECDDBCDCCCDAAADCBCBDDBCBDEECCBCEBDACECA,0,ADCDCDBBBECDCCDCBCBDABCAADCBEBABEEBBBCABEDEDE,BADCBADBCEDDEBBADBCABEECCAEABEBAAECBBABAAEEBB,CAABBCAEAABDCDEADCEDBEDDDABBBBDEBCEADABDBACACDCDDC,DDCABDCCAEDCEBBDBDAEEBADCAECDBCCCCDDCEEBABXEE,1.0,120.0,120.0,100.0,100.0,140.0,580.0
210052694062,2021,13,F,1,3,1,1,15,1,,0,,,,,,,,2933307,VitÃ³ria da Conquista,29,BA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,
210053670444,2021,2,F,1,3,1,3,0,1,,1,,,,,,,,2905206,CaetitÃ©,29,BA,1,1,1,1,912.0,882.0,891.0,901.0,447.5,484.7,391.7,404.1,DCDCABADECBCCDBDBACCBBBCADBAAEBBEDBCCCCABECCD,DAABADBCDAABEEEBAABBAAACADACCEDCECABDEAACACCD,99999DECCADCEBCABBAAEEBBEDCEAEADBEAAEBBCBCCAADDCEE,EDEBEDCCDCACABAAAEAAEBEECCDAEDEEDBACDDBEBBAAC,1,DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB,EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB,ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB,DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE,1.0,120.0,120.0,120.0,100.0,80.0,540.0
210051818888,2021,5,F,1,2,1,1,3,1,,0,,,,,,,,2927408,Salvador,29,BA,1,1,1,1,911.0,880.0,890.0,902.0,625.8,686.7,638.8,664.6,CBB*BDCDEDEDEDACBDDCCDDABDDDBCCCCCDABAACBECBB,DBBAAEEBBBABEECEDAAAAEBCBCAECBECDEBBBADBBAAEC,ABECA99999DDCDCDBADCBBEDCACDACEADEDADDCCEEDDDBDDBD,ECCDEBBAEECDABDDCACECAEBECCEAEDDCDEBCABEABADD,0,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,160.0,200.0,160.0,160.0,180.0,860.0
