NU_INSCRICAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210052143937,E,B,F,B,2.0,B,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,B,A,B,B
210051136061,B,F,B,D,3.0,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B
210053339524,D,B,B,B,3.0,C,A,B,B,B,A,B,B,A,A,B,A,A,B,A,A,C,A,A,B
210051211166,C,G,C,D,3.0,E,A,B,C,B,B,B,A,B,A,B,A,A,B,B,A,D,A,A,B
210054216443,E,E,C,F,3.0,B,A,B,D,A,B,B,A,A,A,B,A,A,B,A,A,D,A,B,B
210052384829,C,C,A,A,4.0,B,A,B,C,A,B,B,A,A,A,A,A,A,B,A,A,E,A,B,B
210054453939,D,F,B,D,3.0,C,A,B,C,A,A,B,B,A,A,A,A,A,B,A,A,D,B,B,B
210052694062,B,C,A,A,2.0,C,A,B,C,A,A,B,B,A,A,B,A,A,B,B,A,B,A,B,B
210053670444,C,F,D,D,3.0,B,A,B,D,A,B,B,A,A,A,B,A,A,B,B,A,C,A,B,B
210051818888,E,E,D,D,4.0,G,A,C,C,B,A,C,C,B,A,B,A,B,C,A,A,E,B,C,B
210054291811,E,E,B,F,6.0,B,A,B,D,A,B,B,A,A,A,B,A,A,B,A,A,B,A,A,B
210052043534,F,G,C,D,3.0,E,A,B,D,A,A,B,A,A,A,B,A,A,B,A,A,D,A,B,B
210054024250,E,D,C,B,7.0,D,A,C,E,B,A,C,B,B,A,B,A,A,B,A,A,E,A,B,B
210052772165,E,G,B,D,5.0,E,A,B,D,A,B,B,A,A,A,B,A,A,B,A,A,E,A,A,B
210053728949,G,E,D,B,5.0,I,D,C,D,B,B,B,A,A,A,A,A,A,B,A,A,E,A,B,B
210051576439,B,D,A,B,3.0,B,A,C,E,A,B,B,A,A,A,A,A,A,B,B,A,D,A,A,B
210051439378,B,E,A,D,1.0,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,A,B,B
