NU_INSCRICAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210052893483,F,G,D,D,4.0,C,A,D,E,C,B,C,C,C,B,B,B,B,D,A,B,E,B,B,B
210051297812,E,E,D,B,4.0,K,A,C,C,C,A,B,B,B,B,B,A,B,D,B,B,E,A,C,B
210051872246,C,B,B,B,5.0,A,A,B,C,A,A,B,B,A,A,A,A,A,A,A,A,E,A,A,B
210052512468,B,B,A,B,2.0,D,C,B,C,A,A,B,B,B,A,B,A,A,C,A,A,C,A,B,B
210052481541,B,A,B,F,3.0,C,A,B,C,A,A,B,B,B,A,B,A,A,C,A,A,C,B,B,B
210053251539,B,D,B,B,3.0,C,A,B,D,B,A,B,A,B,A,A,A,A,C,B,A,A,A,B,B
210053533539,B,E,A,D,5.0,C,A,B,C,A,B,B,B,B,A,B,A,A,B,A,A,C,A,A,B
210052314039,B,B,A,A,1.0,D,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,B,A,B,B
210051352463,D,E,D,D,2.0,D,A,C,E,B,A,B,A,B,A,B,A,B,C,A,A,D,A,C,B
210052005604,F,F,D,D,4.0,J,B,C,D,B,A,B,B,B,A,B,A,B,D,B,B,D,B,B,B
210053460362,B,D,C,D,3.0,D,A,B,C,B,A,B,B,B,A,B,A,B,B,A,A,B,A,B,B
210053537703,G,G,E,E,5.0,N,A,C,D,B,A,B,B,B,A,B,A,B,D,A,B,B,A,C,B
210051125380,E,E,D,B,2.0,C,A,B,C,A,A,B,B,B,A,B,A,B,D,A,A,A,A,B,B
210051026933,E,E,C,B,4.0,F,A,C,D,B,A,B,B,B,A,B,A,B,C,B,A,D,A,B,B
210052954357,E,G,C,D,6.0,B,A,B,B,A,A,B,A,B,A,A,A,A,A,A,A,B,A,A,A
210052050887,F,E,D,B,4.0,K,A,C,C,C,A,B,B,B,A,B,A,A,C,A,B,E,A,B,B
210052584741,F,G,D,D,5.0,L,A,D,D,B,A,B,C,B,B,B,A,B,D,B,A,E,A,D,B
210053966090,E,E,B,B,4.0,E,A,C,D,B,A,B,B,B,B,A,A,B,C,A,A,D,A,B,B
210053501696,C,B,B,B,2.0,D,A,B,C,A,A,B,B,B,A,B,A,A,B,A,A,C,B,B,B
210052635677,C,C,D,A,1.0,C,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,B,B
210052871166,F,G,E,E,2.0,I,B,C,C,A,A,B,A,B,A,B,A,B,C,A,B,C,A,C,B
210054364808,E,E,C,B,5.0,J,A,D,D,B,A,C,B,B,A,B,A,B,E,A,A,E,A,B,B
210053521655,G,G,E,E,4.0,O,D,D,D,B,A,C,C,B,B,B,A,B,E,A,B,E,A,B,B
210053932896,E,E,D,D,5.0,H,A,B,C,C,A,B,B,A,A,A,A,B,B,B,B,E,A,C,B
210053811613,B,B,C,B,3.0,I,A,C,C,C,A,B,B,B,A,B,A,B,D,B,B,D,B,B,B
210051671940,F,G,D,D,5.0,P,A,E,D,B,B,B,B,B,A,B,A,B,D,B,B,E,B,D,B
210053929841,C,E,F,C,5.0,H,A,B,D,A,A,B,A,B,A,A,A,A,B,A,A,E,A,B,B
210053690847,B,D,A,B,1.0,D,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,B,A,A,B
210052381849,D,E,F,D,3.0,C,A,B,C,B,B,B,A,B,B,B,A,A,B,A,B,C,A,A,B
210051514546,B,F,D,D,4.0,H,C,D,E,C,A,B,B,B,B,B,A,B,B,B,B,E,B,D,B
210054403469,A,C,A,A,7.0,B,A,B,D,B,A,B,B,A,A,A,A,A,B,A,A,C,A,A,A
210054381600,C,D,C,B,3.0,C,A,C,C,A,A,C,B,B,B,A,A,A,B,A,A,D,A,B,B
210051776246,F,D,B,B,4.0,D,A,C,C,B,A,B,B,B,A,B,A,A,B,B,B,E,B,B,B
210051253236,F,F,E,E,2.0,B,A,C,D,A,A,B,B,B,A,B,A,B,D,A,A,C,A,B,B
210052138748,G,E,E,D,4.0,M,A,C,D,B,A,B,B,B,B,A,A,B,D,A,B,E,B,D,B
210054105837,C,B,C,B,1.0,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B
210052885099,E,E,D,D,4.0,I,A,E,D,C,B,C,A,B,B,B,A,B,E,B,A,E,A,C,B
210053093529,F,G,E,D,3.0,J,B,C,D,C,A,B,B,B,A,B,A,B,E,B,B,D,A,C,B
210052480608,G,E,E,E,7.0,G,A,D,E,B,A,B,A,B,A,B,A,A,B,A,A,E,A,D,B
210052460358,B,B,B,A,3.0,E,A,B,C,A,A,B,B,B,A,B,A,A,B,A,A,D,A,B,B
210052817801,D,B,C,F,5.0,M,A,C,D,D,A,B,B,B,A,B,A,B,C,B,B,E,B,C,B
210053935723,F,F,D,F,4.0,H,A,B,C,B,B,B,B,B,A,B,A,B,B,A,A,C,A,B,B
210052657727,G,F,E,E,6.0,Q,D,E,E,D,B,D,D,B,B,B,B,B,E,B,B,E,A,E,B
210051515722,E,G,E,E,4.0,Q,B,E,E,C,A,B,B,B,B,B,B,B,E,B,B,E,B,E,B
210053298718,E,E,A,A,2.0,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
210053971823,B,B,B,C,4.0,D,A,C,D,B,A,B,B,A,A,A,A,A,C,A,B,C,A,B,B
210053103867,E,C,C,C,7.0,D,A,C,D,B,B,B,B,B,A,B,A,A,B,A,B,C,B,C,B
210054350837,E,D,D,B,2.0,G,A,B,C,A,C,B,B,B,B,A,A,B,B,A,A,C,A,B,B
210053096179,C,B,C,B,3.0,G,A,B,D,C,A,B,A,B,A,B,A,B,B,A,A,D,A,B,B
210054383710,C,C,C,B,4.0,G,A,C,C,C,A,B,B,B,A,B,A,A,B,A,A,E,A,C,B
210051834099,C,E,C,B,3.0,D,A,B,C,B,A,B,B,B,A,B,A,B,B,B,A,D,A,B,B
210051440664,F,F,E,E,4.0,Q,D,E,E,D,C,C,C,B,B,B,A,B,E,A,B,E,A,E,B
210052926519,E,E,C,F,4.0,F,A,C,D,A,A,B,B,B,A,B,A,B,C,B,B,E,B,E,B
210053964622,B,B,A,B,2.0,D,A,B,A,A,A,B,B,A,A,A,A,A,B,A,A,C,A,B,B
210051793217,E,D,D,F,4.0,H,A,C,D,C,B,B,B,B,B,B,B,B,B,A,A,D,A,B,B
210053917112,E,E,C,C,4.0,E,A,C,C,B,B,B,B,B,B,B,A,A,C,B,A,D,A,C,B
210053960545,E,E,D,B,6.0,E,A,B,C,A,C,B,B,B,A,B,A,A,C,A,A,E,A,B,B
210053941473,E,E,A,B,1.0,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A
210052761364,B,C,A,F,4.0,A,B,B,B,B,B,B,A,A,A,A,A,A,B,A,A,B,A,A,B
210054370338,A,D,D,D,6.0,J,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,B
210052726643,B,A,A,A,5.0,F,A,B,D,B,B,B,B,A,A,A,A,A,C,B,A,D,A,A,B
210051854676,E,E,B,B,4.0,E,A,C,C,A,A,B,B,B,A,B,A,B,C,A,B,E,B,A,B
210054367252,E,E,D,D,5.0,J,A,C,D,C,B,B,B,B,A,B,A,B,C,A,A,E,B,B,B
210052207525,E,C,B,B,8.0,F,B,C,D,A,A,B,A,B,A,B,A,A,B,B,A,E,A,C,B
210054381903,E,E,B,D,4.0,E,A,B,D,A,B,B,B,B,B,B,A,B,B,B,A,D,B,B,B
210052392305,E,E,D,D,4.0,G,A,B,B,B,A,B,B,B,B,B,A,B,B,A,A,D,A,B,B
210052946842,C,G,D,D,2.0,G,A,C,C,B,A,B,B,B,A,B,A,A,B,A,A,C,A,B,B
210051653790,B,C,B,B,4.0,B,A,B,C,A,B,B,A,A,A,B,A,A,C,A,A,D,A,A,B
210051035554,E,G,B,E,3.0,E,A,B,D,B,B,B,B,B,B,B,A,B,E,B,B,D,B,C,B
210051556019,H,E,C,B,2.0,C,A,B,B,A,A,B,B,B,A,B,A,A,B,A,A,B,B,B,B
210052411880,D,C,B,B,4.0,F,A,C,D,B,A,B,B,B,B,B,A,A,C,A,A,D,A,B,B
210052802434,B,E,A,B,5.0,C,A,B,C,B,A,B,B,B,A,B,A,A,B,A,A,D,A,A,B
