consumer_id,payment_type,payment_date,payment_amount
524612336731,78862 DEBIT 641374,2022-02-28,R$ 15084.9
286257776252,debit card 910408,2021-06-05,R$ 11019.5
438089492676,563253 debit card,2020-05-24,R$ 7246.4
31691588327,569986 BOLETO 776363,2022-07-13,R$ 5396.7
580873576795,845654 DEBIT 351895,2021-01-03,R$ 8151.0
375616648160,255287 debit card 668759,2020-07-22,R$ 7475.3
446039262566,697130 credit,2022-07-25,R$ 13660.3
515648004009,100994 piX 582431,2020-06-26,R$ 3304.6
83478781255,281720 credit_card,2022-04-07,R$ 2182.5
213868862794,458644 PIX@@,2022-08-14,R$ 13961.1
276397454361,972253 PIX 968164,2020-07-22,R$ 14026.6
554496297587,462142 piX 165343,2020-01-31,R$ 3270.6
80944542022,907490 debit card,2021-05-07,R$ 6352.6
280232672886,credit MASTERCARD 791721,2022-11-12,R$ 10773.2
681306632429,piX 375466,2022-04-19,R$ 7471.1
790761018077,275320 piX 751811,2021-05-22,R$ 14495.4
74871225567,583324 BOLETO 858014,2021-05-12,R$ 14309.9
557477458248,885652 DEBIT 337491,2021-02-04,R$ 12444.0
472648277876,668391 pix 18296,2022-09-06,R$ 673.4
790761018077,BOLETO++ 773586,2022-04-06,R$ 8936.3
569693067703,Pix 822218,2021-12-27,R$ 1217.0
537718118852,145326 piX,2020-12-18,R$ 1202.2
375616648160,DEBIT 612956,2022-11-14,R$ 2799.2
285060886299,DEBIT 307842,2020-08-13,R$ 2747.8
515648004009,945053 Pix,2020-11-26,R$ 14000.0
634087794043,357675 PIX@@ 990078,2020-04-18,R$ 11225.7
31691588327,667926 credit_card,2020-07-30,R$ 9988.8
866988917063,996374 credit 828647,2023-02-27,R$ 10843.2
880010302690,PIX 264424,2021-02-13,R$ 10483.4
215553816837,PIX 480554,2020-11-12,R$ 1650.3
874586818177,454029 piX,2021-09-28,R$ 1609.3
396813913637,DEBIT 479217,2022-10-05,R$ 5862.6
144886524133,debit card 65834,2021-05-11,R$ 13195.1
666005766278,542972 Pix,2021-05-29,R$ 11900.2
284840717577,633584 pix 485313,2020-06-26,R$ 9966.2
144886524133,credit MASTERCARD 702942,2021-10-30,R$ 14069.3
344181374711,PIX 667323,2020-02-02,R$ 7167.1
457509068524,811485 PIX 990313,2021-08-11,R$ 10440.6
198700429310,Boleto 33131,2022-03-10,R$ 7392.5
866988917063,338696 Boleto 991835,2023-02-24,R$ 8271.0
729179824618,BOLETO 642058,2020-10-18,R$ 11420.7
580873576795,280380 PIX@@ 503364,2021-06-21,R$ 469.3
99916484487,DEBIT 259207,2021-11-06,R$ 13135.5
238954566695,839638 DEBIT,2021-12-21,R$ 9132.9
286257776252,debit card 194002,2020-11-27,R$ 3070.6
924529270294,credit 597169,2021-01-03,R$ 1584.9
215553816837,742530 BOLETO,2022-06-10,R$ 4700.5
866988917063,982484 debit card 25249,2023-01-27,R$ 10110.0
408872306889,43997 PIX 395126,2022-12-09,R$ 14692.0
238954566695,debit card 74041,2023-01-12,R$ 14272.5
31691588327,976871 credit MASTERCARD,2022-08-08,R$ 6578.8
924529270294,826493 credit,2021-03-10,R$ 13708.4
144886524133,boleto 289551,2021-05-19,R$ 5884.9
276397454361,967907 boleto,2022-11-30,R$ 10032.5
594284671075,521358 credit ELO,2022-02-13,R$ 13201.0
559423839138,214763 pix 625094,2021-07-24,R$ 6655.7
557477458248,PIX 279638,2021-08-30,R$ 10314.7
215553816837,236630 PIX@@ 103272,2021-02-27,R$ 2033.6
472648277876,BOLETO++ 980588,2022-06-15,R$ 14790.0
288778337071,810774 DEBIT 354820,2020-08-15,R$ 13760.3
576658664149,Pix 822218,2022-01-24,R$ 7208.2
871606777479,844388 Pix,2022-07-16,R$ 236.8
611332772073,642441 BOLETO++ 264367,2021-07-09,R$ 6163.0
264206396408,BOLETO++ 109224,2021-08-17,R$ 13108.4
768789776296,credit 597169,2023-01-13,R$ 2259.2
264206396408,202934 PIX@@ 357298,2021-02-02,R$ 8351.2
213868862794,414671 debit card,2020-01-19,R$ 1832.9
19814030260,debit card 772277,2021-11-01,R$ 3142.3
83478781255,214763 pix 625094,2022-07-12,R$ 9065.0
554496297587,654456 PIX 493484,2020-09-27,R$ 12525.7
31691588327,516467 debit card,2022-11-18,R$ 11536.5
364560919590,DEBIT 307842,2021-07-29,R$ 10228.6
80944542022,BOLETO 119081,2021-12-21,R$ 9109.3
554496297587,533638 debit card,2022-07-31,R$ 3698.7
94854400223,Pix 822218,2020-03-10,R$ 10413.6
727387933243,credit_card 949094,2021-02-21,R$ 925.3
727387933243,220690 Boleto 349029,2021-08-10,R$ 13863.7
677039694449,957521 CREDIT TYPE 86491,2022-08-14,R$ 3017.4
524612336731,debit card 610597,2021-04-25,R$ 9426.9
457509068524,BOLETO 119081,2021-06-18,R$ 10001.8
198700429310,PIX 631574,2022-03-08,R$ 5736.8
569693067703,422246 DEBIT,2022-11-06,R$ 3364.2
681306632429,DEBIT 612956,2021-05-14,R$ 15540.8
346748702943,764880 Pix,2020-04-16,R$ 2206.7
144886524133,debit card 194002,2021-01-14,R$ 11906.9
576658664149,888644 Boleto 965186,2023-01-15,R$ 8915.0
727387933243,boleto 336107,2022-04-03,R$ 2361.8
432181322622,PIX 143223,2021-11-07,R$ 4376.7
557477458248,DEBIT 112369,2022-04-12,R$ 12837.4
634087794043,542972 Pix,2022-02-13,R$ 7318.6
144886524133,377818 debit card 711009,2021-05-25,R$ 12202.2
80944542022,782698 PIX@@ 14597,2021-11-30,R$ 12316.1
179211442849,107574 BOLETO++ 493423,2020-04-15,R$ 14488.6
556463592229,844388 Pix,2021-12-15,R$ 11831.1
364560919590,credit 593119,2020-10-10,R$ 7548.4
909987131450,668391 pix 18296,2021-10-15,R$ 6342.5
871606777479,972253 PIX 968164,2022-03-26,R$ 2522.5
31691588327,202934 PIX@@ 357298,2021-01-08,R$ 3080.9
94854400223,PIX@@ 773440,2021-05-25,R$ 1458.6
396813913637,408794 Boleto 622204,2022-01-13,R$ 9806.7
556463592229,DEBIT 504016,2022-10-28,R$ 2620.3
213868862794,439081 credit 532621,2021-10-12,R$ 8891.5
786587308278,921266 Pix,2020-03-08,R$ 15147.7
213868862794,771334 PIX@@ 159395,2022-02-12,R$ 12199.2
774463871553,844388 Pix,2023-02-11,R$ 13033.1
786587308278,317783 debit card,2021-08-08,R$ 13594.5
671730620024,107574 BOLETO++ 493423,2022-07-25,R$ 4853.1
524612336731,697130 credit,2020-07-08,R$ 10533.5
213868862794,229097 PIX 211447,2020-08-04,R$ 10788.9
790761018077,BOLETO++ 773586,2021-12-23,R$ 6461.6
31691588327,440893 debit card,2021-02-08,R$ 7501.0
94854400223,credit 753881,2020-05-27,R$ 8405.7
524612336731,499871 Boleto,2022-05-26,R$ 9416.1
241143435764,516467 debit card,2021-06-26,R$ 1750.0
681306632429,377818 debit card 711009,2021-01-16,R$ 13039.6
271043982658,boleto 289551,2022-04-20,R$ 6185.1
343866395672,948935 debit card 9096,2020-02-24,R$ 6029.3
